IP,PORT
81.10.172.142,3128
45.76.134.133,3128
94.177.175.232,3128
202.40.177.230,53281
177.38.13.16,53281
176.101.251.254,53281
170.238.63.240,53281
190.214.1.26,65103
45.76.131.68,3128
45.32.180.246,3128
110.77.187.196,65205
64.110.23.78,8080
88.99.17.146,8080
14.203.99.67,8080
59.144.134.205,3128
190.152.150.62,65309
142.4.204.69,3128
104.238.173.93,3128
162.223.91.18,3128
210.16.120.243,3128
163.172.86.64,3128
138.197.159.112,3128
210.16.121.16,3128
200.72.155.174,3128
186.216.206.157,8080
221.133.44.142,8080
40.71.33.56,3128
140.131.139.226,3128
45.77.89.33,3128
130.211.161.20,80
210.16.120.244,3128
45.77.90.15,3128
149.56.42.236,80
110.78.137.66,65205
128.201.186.185,65205
195.190.124.202,8080
182.253.131.19,8080
61.7.181.4,65205
45.6.195.237,65309
103.24.150.242,65103
36.67.129.33,63909
189.115.92.71,80
109.121.163.56,53281
91.227.158.117,65103
149.56.202.24,80
202.141.226.154,8080
89.13.184.13,80
85.112.188.186,63909
216.56.48.118,9000
110.78.168.229,65205
46.150.174.192,65301
193.188.254.67,53281
109.232.107.150,8080
110.78.151.30,65205
103.66.178.43,65205
111.67.88.81,53281
179.104.219.210,3128
45.32.154.184,3128
170.55.15.175,3128
103.76.45.198,8080
203.123.229.38,53281
195.154.77.130,3128
116.58.235.169,65205
212.25.113.229,8080
201.16.197.219,3128
181.196.150.166,65301
103.12.161.162,63909
103.206.254.170,63909
181.196.207.66,65301
198.50.219.239,3128
208.110.116.153,65301
178.124.194.62,3128
204.12.155.204,3128
165.227.124.179,3128
212.126.155.48,3128
208.163.39.218,53281
217.9.95.35,8080
145.239.74.198,3128
200.4.253.27,65301
178.136.192.223,53281
191.240.149.250,65103
202.79.52.8,53281
181.112.152.222,65103
212.92.250.111,65103
191.36.195.38,53281
103.209.140.242,65103
159.192.251.251,65205
149.255.154.4,8080
45.251.72.110,53281
203.112.212.238,65309
41.184.178.86,53281
149.56.64.58,80
187.106.79.104,65103
186.46.27.70,63909
186.250.234.115,53281
138.204.145.39,80
168.205.24.129,8080
13.56.187.177,3128
46.101.208.224,8080
200.6.140.196,65103
